,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'offerType_Angebot'}),frozenset({'seller_privat'}),1.0,1.0,1.0,1.0,1.0,0.0,inf
1,frozenset({'seller_privat'}),frozenset({'offerType_Angebot'}),1.0,1.0,1.0,1.0,1.0,0.0,inf
2,frozenset({'abtest_control'}),frozenset({'seller_privat'}),0.4856,1.0,0.4856,1.0,1.0,0.0,inf
3,frozenset({'abtest_test'}),frozenset({'seller_privat'}),0.5144,1.0,0.5144,1.0,1.0,0.0,inf
4,frozenset({'gearbox_manuell'}),frozenset({'seller_privat'}),0.7394,1.0,0.7394,1.0,1.0,0.0,inf
5,frozenset({'seller_privat'}),frozenset({'gearbox_manuell'}),1.0,0.7394,0.7394,0.7394,1.0,0.0,1.0
6,frozenset({'seller_privat'}),frozenset({'kilometer_150000'}),1.0,0.64,0.64,0.64,1.0,0.0,1.0
7,frozenset({'kilometer_150000'}),frozenset({'seller_privat'}),0.64,1.0,0.64,1.0,1.0,0.0,inf
8,frozenset({'fuelType_benzin'}),frozenset({'seller_privat'}),0.5964,1.0,0.5964,1.0,1.0,0.0,inf
9,frozenset({'notRepairedDamage_nein'}),frozenset({'seller_privat'}),0.707,1.0,0.707,1.0,1.0,0.0,inf
10,frozenset({'seller_privat'}),frozenset({'notRepairedDamage_nein'}),1.0,0.707,0.707,0.707,1.0,0.0,1.0
11,frozenset({'nrOfPictures_0'}),frozenset({'seller_privat'}),1.0,1.0,1.0,1.0,1.0,0.0,inf
12,frozenset({'seller_privat'}),frozenset({'nrOfPictures_0'}),1.0,1.0,1.0,1.0,1.0,0.0,inf
13,frozenset({'abtest_control'}),frozenset({'offerType_Angebot'}),0.4856,1.0,0.4856,1.0,1.0,0.0,inf
14,frozenset({'abtest_test'}),frozenset({'offerType_Angebot'}),0.5144,1.0,0.5144,1.0,1.0,0.0,inf
15,frozenset({'offerType_Angebot'}),frozenset({'gearbox_manuell'}),1.0,0.7394,0.7394,0.7394,1.0,0.0,1.0
16,frozenset({'gearbox_manuell'}),frozenset({'offerType_Angebot'}),0.7394,1.0,0.7394,1.0,1.0,0.0,inf
17,frozenset({'offerType_Angebot'}),frozenset({'kilometer_150000'}),1.0,0.64,0.64,0.64,1.0,0.0,1.0
18,frozenset({'kilometer_150000'}),frozenset({'offerType_Angebot'}),0.64,1.0,0.64,1.0,1.0,0.0,inf
19,frozenset({'fuelType_benzin'}),frozenset({'offerType_Angebot'}),0.5964,1.0,0.5964,1.0,1.0,0.0,inf
20,frozenset({'offerType_Angebot'}),frozenset({'notRepairedDamage_nein'}),1.0,0.707,0.707,0.707,1.0,0.0,1.0
21,frozenset({'notRepairedDamage_nein'}),frozenset({'offerType_Angebot'}),0.707,1.0,0.707,1.0,1.0,0.0,inf
22,frozenset({'offerType_Angebot'}),frozenset({'nrOfPictures_0'}),1.0,1.0,1.0,1.0,1.0,0.0,inf
23,frozenset({'nrOfPictures_0'}),frozenset({'offerType_Angebot'}),1.0,1.0,1.0,1.0,1.0,0.0,inf
24,frozenset({'abtest_control'}),frozenset({'gearbox_manuell'}),0.4856,0.7394,0.3598,0.7409390444810544,1.0020814775237414,0.0007473600000000302,1.0059408585055647
25,frozenset({'abtest_control'}),frozenset({'kilometer_150000'}),0.4856,0.64,0.3098,0.6379736408566722,0.9968338138385503,-0.0009839999999999849,0.9944027303754267
26,frozenset({'abtest_control'}),frozenset({'notRepairedDamage_nein'}),0.4856,0.707,0.3438,0.7079901153212521,1.0014004459989423,0.00048080000000000345,1.0033906911142458
27,frozenset({'abtest_control'}),frozenset({'nrOfPictures_0'}),0.4856,1.0,0.4856,1.0,1.0,0.0,inf
28,frozenset({'abtest_test'}),frozenset({'gearbox_manuell'}),0.5144,0.7394,0.3796,0.7379471228615864,0.9980350593205118,-0.0007473599999999747,0.9944557863501488
29,frozenset({'abtest_test'}),frozenset({'kilometer_150000'}),0.5144,0.64,0.3302,0.6419129082426128,1.0029889191290826,0.0009839999999999849,1.0053420195439742
30,frozenset({'abtest_test'}),frozenset({'fuelType_benzin'}),0.5144,0.5964,0.3096,0.6018662519440124,1.0091654123809732,0.00281184000000001,1.0137296875
31,frozenset({'abtest_test'}),frozenset({'notRepairedDamage_nein'}),0.5144,0.707,0.3632,0.7060653188180406,0.9986779615530985,-0.00048079999999994794,0.9968201058201064
32,frozenset({'abtest_test'}),frozenset({'nrOfPictures_0'}),0.5144,1.0,0.5144,1.0,1.0,0.0,inf
33,frozenset({'gearbox_manuell'}),frozenset({'kilometer_150000'}),0.7394,0.64,0.4796,0.6486340275899378,1.013490668109278,0.006384000000000056,1.0245727482678983
34,frozenset({'kilometer_150000'}),frozenset({'gearbox_manuell'}),0.64,0.7394,0.4796,0.749375,1.013490668109278,0.006384000000000056,1.0398004987531175
35,frozenset({'gearbox_manuell'}),frozenset({'fuelType_benzin'}),0.7394,0.5964,0.4756,0.6432242358669192,1.0785114618828289,0.034621840000000015,1.1312427596664143
36,frozenset({'fuelType_benzin'}),frozenset({'gearbox_manuell'}),0.5964,0.7394,0.4756,0.7974513749161636,1.0785114618828289,0.034621840000000015,1.2866046357615892
37,frozenset({'notRepairedDamage_nein'}),frozenset({'gearbox_manuell'}),0.707,0.7394,0.5286,0.7476661951909477,1.0111795985812115,0.005844200000000077,1.0327589686098657
38,frozenset({'gearbox_manuell'}),frozenset({'notRepairedDamage_nein'}),0.7394,0.707,0.5286,0.7149039761969164,1.0111795985812113,0.005844200000000077,1.027723908918406
39,frozenset({'nrOfPictures_0'}),frozenset({'gearbox_manuell'}),1.0,0.7394,0.7394,0.7394,1.0,0.0,1.0
40,frozenset({'gearbox_manuell'}),frozenset({'nrOfPictures_0'}),0.7394,1.0,0.7394,1.0,1.0,0.0,inf
41,frozenset({'kilometer_150000'}),frozenset({'notRepairedDamage_nein'}),0.64,0.707,0.4216,0.65875,0.9317538896746818,-0.03088000000000002,0.8586080586080586
42,frozenset({'nrOfPictures_0'}),frozenset({'kilometer_150000'}),1.0,0.64,0.64,0.64,1.0,0.0,1.0
43,frozenset({'kilometer_150000'}),frozenset({'nrOfPictures_0'}),0.64,1.0,0.64,1.0,1.0,0.0,inf
44,frozenset({'notRepairedDamage_nein'}),frozenset({'fuelType_benzin'}),0.707,0.5964,0.4306,0.609052333804809,1.0212145100684256,0.008945199999999986,1.0323632416787263
45,frozenset({'fuelType_benzin'}),frozenset({'notRepairedDamage_nein'}),0.5964,0.707,0.4306,0.7219986586183769,1.0212145100684256,0.008945199999999986,1.0539517490952954
46,frozenset({'fuelType_benzin'}),frozenset({'nrOfPictures_0'}),0.5964,1.0,0.5964,1.0,1.0,0.0,inf
47,frozenset({'notRepairedDamage_nein'}),frozenset({'nrOfPictures_0'}),0.707,1.0,0.707,1.0,1.0,0.0,inf
48,frozenset({'nrOfPictures_0'}),frozenset({'notRepairedDamage_nein'}),1.0,0.707,0.707,0.707,1.0,0.0,1.0
49,"frozenset({'offerType_Angebot', 'abtest_control'})",frozenset({'seller_privat'}),0.4856,1.0,0.4856,1.0,1.0,0.0,inf
50,"frozenset({'abtest_control', 'seller_privat'})",frozenset({'offerType_Angebot'}),0.4856,1.0,0.4856,1.0,1.0,0.0,inf
51,frozenset({'abtest_control'}),"frozenset({'offerType_Angebot', 'seller_privat'})",0.4856,1.0,0.4856,1.0,1.0,0.0,inf
52,"frozenset({'offerType_Angebot', 'abtest_test'})",frozenset({'seller_privat'}),0.5144,1.0,0.5144,1.0,1.0,0.0,inf
53,"frozenset({'abtest_test', 'seller_privat'})",frozenset({'offerType_Angebot'}),0.5144,1.0,0.5144,1.0,1.0,0.0,inf
54,frozenset({'abtest_test'}),"frozenset({'offerType_Angebot', 'seller_privat'})",0.5144,1.0,0.5144,1.0,1.0,0.0,inf
55,"frozenset({'offerType_Angebot', 'gearbox_manuell'})",frozenset({'seller_privat'}),0.7394,1.0,0.7394,1.0,1.0,0.0,inf
56,"frozenset({'offerType_Angebot', 'seller_privat'})",frozenset({'gearbox_manuell'}),1.0,0.7394,0.7394,0.7394,1.0,0.0,1.0
57,"frozenset({'seller_privat', 'gearbox_manuell'})",frozenset({'offerType_Angebot'}),0.7394,1.0,0.7394,1.0,1.0,0.0,inf
58,frozenset({'offerType_Angebot'}),"frozenset({'seller_privat', 'gearbox_manuell'})",1.0,0.7394,0.7394,0.7394,1.0,0.0,1.0
59,frozenset({'gearbox_manuell'}),"frozenset({'offerType_Angebot', 'seller_privat'})",0.7394,1.0,0.7394,1.0,1.0,0.0,inf
